title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,_source_file
Brackwede derelict area,"On the derelict industrial plant in Brackwede, which was independent until 1973, a large leisure facility with an extensive range of leisure activities was planned. However, due to more recent findings, this direction was rejected and a natural green corridor was created with unique biotope areas that had developed over time from the abandoned bleaching ponds and meadows.",completed,Bielefeld,Germany,neighborhood,"[""Parks and urban forests"", ""Green corridors and green belts"", ""Blue infrastructure"", ""Lakes/ponds"", ""Rivers/streams/canals/estuaries""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Regeneration, land-use and urban development"", ""Conversion of former industrial areas"", ""Promote natural styles of landscape design for urban development"", ""Health and well-being (SDG 3)"", ""Creation of opportunities for recreation""]","[""Gain in activities for recreation and exercise""]","[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Enhanced protection and restoration of freshwater ecosystems"", ""type"": ""environmental""}, {""description"": ""Promotion of naturalistic styles of landscape design for urban development"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased conversion of degraded land or soil"", ""type"": ""environmental""}, {""description"": ""Restoration of derelict areas"", ""type"": ""environmental""}, {""description"": ""Increased appreciation for natural spaces"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/bielefeld/brackwede-derelict-area,urban,164_Brackwede_derelict_area.html
Bradford Beck project,"The Bradford Beck project is a pilot project looking at new ways of managing and improving rivers. The Bradford Beck is a small river system of around 11km that flows through the City of Bradford. The beck used to be known as the filthiest river in England. In this project, activities are aimed at bringing the becks back to life and full health, for long term restoration of the Beck.",ongoing,Bradford,United Kingdom,neighborhood,"[""Blue infrastructure"", ""Rivers/streams/canals/estuaries"", ""In-land wetlands, peatlands, swamps, and moors"", ""Grey infrastructure featuring greens"", ""Riverbank/Lakeside greens""]","[""Environmental quality"", ""Waste management"", ""Green space, habitats and biodiversity (SDG 15)"", ""Green space creation and/or management"", ""Water management (SDG 6)"", ""Improvements to water quality"", ""Health and well-being (SDG 3)"", ""Creation of opportunities for recreation""]",[],"[{""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bradford/bradford-beck-project,urban,165_Bradford_Beck_project.html
Bradford Urban Garden,Work started on the Broadway shopping centre in 2004 but was halted due to the economic recession in 2008. A temporary urban park was opened on the derelict site after work on the Westfield development was halted for years. The urban garden was said to be an improvement to the city centre landscape in Bradford. The park does not exist any more due to the construction of the shopping mall - Bradford Urban Garden closed in 2014.,completed,Bradford,United Kingdom,site,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Green space creation and/or management"", ""Social justice, cohesion and equity (SDG 10)"", ""Social interaction"", ""Health and well-being (SDG 3)"", ""Creation of opportunities for recreation""]","[""Gain in activities for recreation and exercise""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Restoration of derelict areas"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bradford/bradford-urban-garden,urban,166_Bradford_Urban_Garden.html
Bremen buzzes - program for the protection of bees,"A city-wide initiative for the protection of bees developed by the BUND Bremen together with a number of local NGOs, local government and the citizens of Bremen. The project involved the planting of trees and wildflowers that will serve as a food for pollinators in different parts of the city as well as the provision of additional nesting places for the bees. It aims to protect the endangered bee species, increase biodiversity and beautify the city with the new plantings.",completed,Bremen,Germany,city,"[""Grey infrastructure featuring greens"", ""Alley or street trees and other street vegetation""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance"", ""Cultural heritage and cultural diversity"", ""Preservation of natural heritage""]","[""Improved mental health"", ""More active mobility""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Enhanced support of pollination"", ""type"": ""environmental""}, {""description"": ""Improvement in people’s connection to nature"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bremen/bremen-buzzes-program-protection-bees,urban,167_Bremen_buzzes_-_program_for_the_protection_of_bees.html
Bridgefoot Street Park,"After years of campaigning by local residents in the Liberties area, local authorities approved the idea of creating a park at Bridgefoot Street, instead of selling the area to developers who would have built a housing project there. The park will include lawns, flowers, trees, furniture, lighting, allotments, a community garden, a terrace, play space and play equipment and more. Bridgefoot St. Park will transform a derelict place and address the lack of green and recreational space in the area which locals had been campaigning against.",ongoing,Dublin,Ireland,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Community gardens and allotments"", ""Community gardens"", ""Green areas for water management"", ""Swales and filter strips""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)""]","[""Improving mental health"", ""Improving physical health"", ""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Restoration of derelict areas"", ""type"": ""environmental""}, {""description"": ""Decreased crime rates"", ""type"": ""social""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved mental health"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/dublin/bridgefoot-street-park,urban,168_Bridgefoot_Street_Park.html
Bring Nature Home,"Bring Nature Home project, partly financed by and implemented under the New European Bauhaus programme by the organisation ""UrbanizeHub"", is an initiative focused on encouraging and helping the city of Iasi to become more green while strengthening urban communities. The project sought to transform an unused space in a residential area of a neighborhood in Iasi through a ""biophilic design"", with the involvement of the local community. The space was then transformed into a green area that would help the residents reconnect with nature.",completed,"Iași, Iaşi (FUA)",Romania,site,"[""Community gardens and allotments""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Green space, habitats and biodiversity (SDG 15)"", ""Health and well-being (SDG 3)"", ""Inclusive and effective governance (SDG 16)"", ""Social justice, cohesion and equity (SDG 10)""]","[""Creation of opportunities for recreation""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/iasi-fua/bring-nature-home,urban,169_Bring_Nature_Home.html
Brookley by the Bay,"Brookley by the Bay is a 98-acre new waterfront park project along Mobile Bay's western shore. The park aims to reconnect people with the Mobile waterfront and coastal ecosystem, serving both recreational and environmental purposes. It features sports facilities and social gathering spaces, while also focusing on habitat enhancement and flood protection.",ongoing,Mobile,United States,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Coastal resilience and marine protection (SDG 14)"", ""Green space, habitats and biodiversity (SDG 15)"", ""Water management (SDG 6)"", ""Health and well-being (SDG 3)""]","[""Creation of opportunities for recreation"", ""Enabling opportunities for physical activity""]","[{""description"": ""Increased protection against sea level rise"", ""type"": ""environmental""}, {""description"": ""Improved protection against strong wind"", ""type"": ""environmental""}, {""description"": ""Expected improved access to urban green space"", ""type"": ""social""}, {""description"": ""Expected gain in activities for recreation and exercise"", ""type"": ""social""}]","Government-led, Local government/municipality",https://una.city/nbs/mobile-fua/brookley-bay,coastal,170_Brookley_by_the_Bay.html
Brunton Park Flood Alleviation Scheme,"The Brunton Park residential area in the northern part of Newcastle had a history of flooding as a result of urban growth in the local area and developments in the upper parts of the Ouseburn catchment. A total of 62 properties were at risk of sewer flooding whilst 74 properties were located within a flood zone. In 2014, the collaboration of the Northumbria Water, the Environmental Agency and the Newcastle City Council created the Brunton Park Flood Alleviation Scheme with the strategic objective to reduce the potential for flooding of adjacent properties from surface water and the Ouseburn, whilst also developing a sustainable, self-maintaining channel which supports environmental, social and economic purposes at the same time.",completed,Newcastle,United Kingdom,neighborhood,"[""sustainable urban drainage systems"", ""riverbank stabilization"", ""green areas for water management""]","[""flood protection"", ""stormwater and rainfall management and storage""]",[],"[{""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}]",Co-governance with government and non-government actors,https://una.city/nbs/newcastle/brunton-park-flood-alleviation-scheme,urban,171_Brunton_Park_Flood_Alleviation_Scheme.html
Bryggervej,"Collaboration between the City of Aarhus and private property developer DOMIS Ejendomme has been recognised by the award of a silver certificate for sustainable urban planning for the Bryggervej project. The aim of the project is to try out various sustainability principles. Green and blue solutions are included in the project, e.g. green roofs, green facades, green open spaces and blue elements/water in the park areas to increase recreational values and add moisture to the dry urban air.",ongoing,Århus,Denmark,neighborhood,"[""green roofs"", ""green walls or facades"", ""green areas for water management"", ""sustainable urban drainage systems"", ""parks and urban forests"", ""pocket parks/neighbourhood green spaces""]","[""climate change adaptation"", ""water management"", ""green space creation and/or management"", ""health and well-being"", ""social cohesion""]","[""improved physical health"", ""improved mental health"", ""gain in activities for recreation and exercise""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased property prices"", ""type"": ""economic""}, {""description"": ""Improvement in people’s connection to nature"", ""type"": ""social""}]",Collaboration between the City of Aarhus and the private property developer DOMIS Ejendomme.,https://una.city/nbs/arhus/bryggervej,urban,172_Bryggervej.html
Building Climate Change Resilience,"Kaysone experiences severe flooding events on an annual basis due to its location to the banks of Mekong river, as well as periodic storms, and past responses to these threats have focused on the Savanxay Market and the Southern Flood Gate, but with limited success. This intervention focuses on the development of an integrated adaptation plan for the area around the market and adjacent to the Mekong canal. This plan includes NBS-specific components considering how the market's parking area provides an important opportunity for bioengineering and green cover.",in-progress,Savannakhet,Laos,site,"[""Grey infrastructure featuring greens"", ""Green areas for water management"", ""Sustainable urban drainage systems""]","[""Flood protection"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality"", ""Climate change adaptation""]","[""Gain in activities for recreation and exercise"", ""Improved access to urban green space""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Improved community safety to climate-related hazards"", ""type"": ""social""}, {""description"": ""Improved liveability"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/kaysone-phomvihane/building-climate-change-resilience,urban,173_Building_Climate_Change_Resilience.html
Building Climate Change Resilience,"Battambang is projected to experience significant effects of climate change that will have a range of impacts including changes to hydrology and the frequency and intensity of flooding and droughts. As part of an Asian Development Bank project, a technical Climate Change Core Group was established to ensure that representatives from key sectors and levels of government work together to build resilience for the town and prepare the residents for the inevitable climate change impacts in the future. Three infrastructure systems in Battambang were identified for detailed vulnerability assessments and adaptation planning by the climate change Core Group.",in-progress,Battambang,Cambodia,regional,"[""blue infrastructure"", ""parks and urban forests""]","[""Climate change adaptation"", ""Flood protection"", ""Stormwater and rainfall management and storage""]","[""Creation of opportunities for recreation""]","[{""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Stimulate development in deprived areas"", ""type"": ""economic""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Improved community safety to climate-related hazards"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/battambang/building-climate-change-resilience,urban,174_Building_Climate_Change_Resilience.html
Building climate resilience through peri-urban agriculture,"The project “Enhancing climate resilience of Gorakhpur by buffering floods through climate-resilient peri-urban agriculture” is part of the Asian Cities Climate Change Resilience Network (ACCCRN) and financed by The Rockefeller Foundation. It was implemented by the Gorakhpur Environmental Action Group (GEAG) from June 2012 to May 2016 to demonstrate how ecosystem services generated by peri-urban agriculture can positively address the impacts of climate change in Gorakhpur, a city located in eastern Uttar Pradesh, India. The main project outcomes were focused on conserving peri-urban agricultural land areas as they serve to climate-proof cities and build resilience, enhance the livelihood and food security of vulnerable groups in peri-urban areas, as well as establish sustainable and climate-resilient models.",completed,Gorakhpur,India,regional,"[""community gardens and allotments"", ""allotments"", ""horticulture""]","[""climate change adaptation"", ""flood protection"", ""improvements to water quality"", ""green space creation and/or management"", ""soil quality improvement""]","[""improved food security"", ""increased access to healthy/affordable food""]","[{""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased sustainability of agriculture practices"", ""type"": ""social""}]","Led by non-government actors, including the Gorakhpur Environmental Action Group (GEAG) and supported by various stakeholders.",https://una.city/nbs/gorakhpur/building-climate-resilience-through-peri-urban-agriculture,urban,175_Building_climate_resilience_through_peri-urban_agriculture.html
Building Coastal City Resilience in Pekalongan,"The project aims to build Coastal City Resilience to Climate Change Impacts and Natural Disasters in Pekalongan City, Central Java Province. It focuses on building resilience through training, mangrove ecosystem restoration, enhancement of coastal protection, and development of a Local Climate Adaptation Action Plan. The project employs a collaborative and participatory approach that is locally driven and involves those most at risk.",ongoing,Pekalongan City,Indonesia,neighborhood,"[""Coastal wetland, mangroves and salt marshes"", ""Blue infrastructure""]","[""Climate change adaptation"", ""Flood protection"", ""Coastal protection / hazard mitigation""]",[],"[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Fair distribution of social, environmental and economic benefits of the NBS project"", ""type"": ""social""}, {""description"": ""Increase of green jobs"", ""type"": ""economic""}]","Led by non-government actors, implemented by Kemitraan (Partnership for Governance Reform in Indonesia) with funding from the UN's Adaptation Fund.",https://una.city/nbs/pekalongan-city/building-coastal-city-resilience-pekalongan,coastal,176_Building_Coastal_City_Resilience_in_Pekalongan.html
Building coastal resilience for Muanda’s communities,"The Democratic Republic of the Congo’s coastal zone stretches 40 km and comprises the towns of Muanda, Banana and Nsiamfumu. The problem of coastal erosion has intensified since 1980 with the significant retreat of the coast in the Banana-Muanda segment, this retreat has been estimated as much as 2,300 meters. To respond to some of these complex challenges, the Department of Environment, Nature Conservation and Tourism, Democratic Republic of Congo implemented the present intervention partnering with the United Nations Development Programme (UNDP) and the Global Environment Facility (GEF).",ongoing,Muanda,Democratic Republic of the Congo,regional,"[""Blue infrastructure"", ""Coastlines"", ""Coastal wetland, mangroves and salt marshes"", ""Community gardens and allotments"", ""Horticulture""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change adaptation"", ""Climate change mitigation"", ""Coastal resilience and marine protection (SDG 14)"", ""Coastal protection / hazard mitigation"", ""Marine and coastal biodiversity protection"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Water management (SDG 6)"", ""Flood protection"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education""]",[],"[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Stimulate development in deprived areas"", ""type"": ""economic""}, {""description"": ""Increased visibility and opportunity for marginalised groups or indigenous peoples"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}, {""description"": ""Improved community safety to climate-related hazards"", ""type"": ""social""}]",Government-led,https://una.city/nbs/muanda/building-coastal-resilience-muandas-communities,coastal,177_Building_coastal_resilience_for_Muandas_communities.html
Building community-driven vertical gardens,"This intervention was initiated in 2014 in Agege, a slum and a city in itself belonging to Lagos. Agege is one of the 7th most populated low-income communities in Lagos with a total population of around 1,033,064 people. Climate change in Nigeria led to seasonal droughts and floods, causing pressures in terms of food security as well as high temperature and humidity levels which affect directly the economically disadvantaged population in the slums of Lagos.",completed,Agege,Nigeria,site,"[""green walls or facades"", ""balcony greens""]","[""climate change adaptation"", ""habitat and biodiversity conservation"", ""social justice and equity"", ""employment/job creation"", ""sustainable consumption"", ""sustainable production""]",[],"[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Increase of green jobs (e.g. paid employment positions)"", ""type"": ""economic""}, {""description"": ""Social justice and cohesion"", ""type"": ""social""}]","Led by non-government actors, initiated by researchers at the University of Cardiff.",https://una.city/nbs/agege/building-community-driven-vertical-gardens,urban,178_Building_community-driven_vertical_gardens.html
Building the town of NyE,"An integrated solution for groundwater, rainwater, waste water, streams and ponds creates attractive housing in a new suburb (NyE), with room for exciting architecture. The water cycle plays a key role in urban development in Denmark, and water is one of the ever-present elements in our lives. Århus needs to prevent flooding caused by climate change, avoid polluting our groundwater, and improve the environment in streams and ponds to allow the use of water to create recreational value for the residents.",ongoing,Århus,Denmark,neighborhood,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces"", ""Blue infrastructure"", ""Lakes/ponds"", ""Coastal wetland, mangroves and salt marshes"", ""Green areas for water management"", ""Sustainable urban drainage systems""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change adaptation"", ""Water management (SDG 6)"", ""Flood protection"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Environmental quality"", ""Waste management"", ""Health and well-being (SDG 3)"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation"", ""Economic development and employment (SDG 8)"", ""Economic development: service sectors"", ""Real estate development""]","[""Improved physical health"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Enhanced protection and restoration of freshwater ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased property prices"", ""type"": ""economic""}, {""description"": ""Attraction of business and investment"", ""type"": ""economic""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved liveability"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Increased sense of place identity, memory and belonging"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/arhus/building-town-nye,urban,179_Building_the_town_of_NyE.html
Building With Nature: Mangrove Rehabilitation,"Extensive and low-lying, Suriname’s coastal region has been identified as highly vulnerable to climate-induced sea-level rise. The Suriname Building With Nature project has seen wooden, water penetrable dams being built to trap sediment and replant mangroves. This project aims to stop land degradation using ecosystem-based adaptation techniques and enhance biodiversity conservation.",ongoing,Paramaribo,Suriname,neighborhood,"[""coastal wetland, mangroves and salt marshes""]","[""flooding"", ""erosion"", ""climate change adaptation"", ""climate change mitigation""]",[],"[{""description"": ""Increased protection against sea level rise"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Increased sustainability of agriculture practices"", ""type"": ""social""}]","Led by non-government actors, initiated by researchers/university",https://una.city/nbs/paramaribo/building-nature-mangrove-rehabilitation,coastal,180_Building_With_Nature_Mangrove_Rehabilitation.html
Buku Jalanan Chow Kit Urban Farm,"To address the increasing pressure on urban green spaces, Buku Jalanan Chow Kit, an NGO in Kuala Lumpur initiated a green project where the local community could thrive, learn about the benefits of nature and use their ethnobotanical heritage. The project provided a way to enrich biodiversity and enhance the sustainability and resilience of the local communities. The current project will focus on creating a rooftop urban farm, biodiversity garden and playground on an existing building.",ongoing,Kuala Lumpur,Malaysia,site,"[""Community gardens and allotments"", ""Community gardens"", ""Horticulture"", ""Green roofs""]","[""Climate change adaptation"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Environmental education""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increase in agricultural production"", ""type"": ""economic""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/kuala-lumpur/buku-jalanan-chow-kit-urban-farm,urban,181_Buku_Jalanan_Chow_Kit_Urban_Farm.html
Bundek Lake Cleaning and Renovation,"Bundek Park is one of the urban planning projects aimed to create a recreational and sports area for the citizens and tourists to support a healthy lifestyle. The project included cleaning of the informal waste disposal site and shrubs blocking access to the lakes, renovation of the access to the lakes, planting flowers and introduction of benches and water to allow citizens to use the lake for recreation and enjoy nature.",completed,Zagreb,Croatia,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Blue infrastructure"", ""Lakes/ponds""]","[""Water management (SDG 6)"", ""Flood protection"", ""Improvements to water quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Environmental quality"", ""Air quality improvement"", ""Waste management"", ""Regeneration, land-use and urban development"", ""Promote natural styles of landscape design for urban development"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance"", ""Effective management"", ""Health and well-being (SDG 3)"", ""Enabling opportunities for physical activity"", ""Improving mental health"", ""Creation of opportunities for recreation"", ""Economic development and employment (SDG 8)"", ""Tourism support"", ""Cultural heritage and cultural diversity"", ""Protection of historic and cultural landscape/infrastructure""]","[""Improved physical health"", ""Improved mental health"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved waste management"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""More sustainable tourism"", ""type"": ""economic""}, {""description"": ""Improved liveability"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/zagreb/bundek-lake-cleaning-and-renovation,urban,182_Bundek_Lake_Cleaning_and_Renovation.html
Butterfly booths in the city,"The project of building 100 butterfly booths in different locations of the city developed by BUND Bremen in cooperation with the Botanical Garden, Stadtgrün Bremen and implemented jointly with the citizens. The project additionally involved plantings of flowers and educational activities. It aimed at increasing biodiversity, increasing the protection of the endangered butterfly species as well as providing care instructions for the care of butterflies for the residents of Bremen.",completed,Bremen,Germany,site,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education"", ""Cultural heritage and cultural diversity"", ""Preservation of natural heritage""]","[""unknown""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/bremen/butterfly-booths-city,urban,183_Butterfly_booths_in_the_city.html
Butterfly corridor,"This project aims to create a Butterfly corridor through the city of New Delhi by connecting local parks, residential gardens, biodiversity parks, and major forest areas. Various locations, mainly maintained by citizens, are developed as habitats for the butterflies by planting various kinds of host plants. The project is initiated by the Conservation Education Centre (CEC), a Delhi-based faction of the Bombay Natural History Society.",ongoing,New Delhi,India,regional,"[""Community gardens and allotments"", ""Green corridors and green belts"", ""Parks and urban forests""]","[""Green space, habitats and biodiversity"", ""Health and well-being"", ""Inclusive and effective governance"", ""Social justice, cohesion and equity""]","[""Creation of opportunities for recreation""]","[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased ecological connectivity across regeneration sites and scales"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]","Led by non-government actors, specifically the Conservation Education Centre (CEC), in association with schools, colleges, residents and community groups.",https://una.city/nbs/new-delhi/butterfly-corridor,urban,184_Butterfly_corridor.html
Cacao farm at the Foyer de l'Espérance,"This project involves collaboration among government, private, and educational entities focused on developing an agroforestry initiative that integrates economic activity, labor market integration, and educational opportunities for young children at the “Foyer de l’Espérance” [school and child welfare center] in Fort-de-France. The objective is to plant 1,500 cacao trees on the Foyer's premises by 2025. These trees will serve as pedagogical support for teachers and children.",ongoing,Fort-de-France,Martinique,neighborhood,"[""Community gardens and allotments"", ""Parks and urban forests""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Economic development and employment (SDG 8)"", ""Sustainable consumption and production (SDG 12)""]",[],"[{""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Achieved increase of green jobs (e.g. paid employment positions)"", ""type"": ""economic""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}]","Led by non-government actors, initiated by the Espérance Martinique and the Frères Lauzéa, with support from public and private actors.",https://una.city/nbs/fort-de-france-fua/cacao-farm-foyer-de-lesperance,urban,185_Cacao_farm_at_the_Foyer_de_lEspérance.html
